PARAMETER,YEAR,LAT,LON,PREC [mm/day]
PRECTOTCORR,1985,19.75,-156.75,1.05
PRECTOTCORR,1985,19.75,-157.25,0
PRECTOTCORR,1985,19.75,-157.75,0
PRECTOTCORR,1985,19.75,-158.25,0
PRECTOTCORR,1985,19.75,-158.75,0
PRECTOTCORR,1985,19.75,-159.25,0
PRECTOTCORR,1985,19.75,-159.75,0
PRECTOTCORR,1985,19.75,-160.25,0
PRECTOTCORR,1985,19.75,-160.75,0
PRECTOTCORR,1985,19.75,-161.25,0
PRECTOTCORR,1985,19.75,-161.75,0
PRECTOTCORR,1985,20.25,-153.25,0
PRECTOTCORR,1985,20.25,-153.75,0
PRECTOTCORR,1985,20.25,-154.25,0
PRECTOTCORR,1985,20.25,-154.75,3.16
PRECTOTCORR,1985,20.25,-155.25,4.22
PRECTOTCORR,1985,20.25,-155.75,3.16
PRECTOTCORR,1985,20.25,-156.25,5.27
PRECTOTCORR,1985,20.25,-156.75,1.05
PRECTOTCORR,1985,20.25,-157.25,0
PRECTOTCORR,1985,20.25,-157.75,0
PRECTOTCORR,1985,20.25,-158.25,0
PRECTOTCORR,1985,20.25,-158.75,0
PRECTOTCORR,1985,20.25,-159.25,0
PRECTOTCORR,1985,20.25,-159.75,0
PRECTOTCORR,1985,20.25,-160.25,0
PRECTOTCORR,1985,20.25,-160.75,0
PRECTOTCORR,1985,20.25,-161.25,0
PRECTOTCORR,1985,20.25,-161.75,0
PRECTOTCORR,1985,20.75,-153.25,0
PRECTOTCORR,1985,20.75,-153.75,0
PRECTOTCORR,1985,20.75,-154.25,0
PRECTOTCORR,1985,20.75,-154.75,0
PRECTOTCORR,1985,20.75,-155.25,0
PRECTOTCORR,1985,20.75,-155.75,0.53
PRECTOTCORR,1985,20.75,-156.25,2.64
PRECTOTCORR,1985,20.75,-156.75,2.64
PRECTOTCORR,1985,20.75,-157.25,2.64
PRECTOTCORR,1985,20.75,-157.75,1.58
PRECTOTCORR,1985,20.75,-158.25,0
PRECTOTCORR,1985,20.75,-158.75,0
PRECTOTCORR,1985,20.75,-159.25,0
PRECTOTCORR,1985,20.75,-159.75,0
PRECTOTCORR,1985,20.75,-160.25,0
PRECTOTCORR,1985,20.75,-160.75,0
PRECTOTCORR,1985,20.75,-161.25,0
PRECTOTCORR,1985,20.75,-161.75,0
PRECTOTCORR,1985,21.25,-153.25,0
PRECTOTCORR,1985,21.25,-153.75,0
PRECTOTCORR,1985,21.25,-154.25,0
PRECTOTCORR,1985,21.25,-154.75,0
PRECTOTCORR,1985,21.25,-155.25,0
PRECTOTCORR,1985,21.25,-155.75,0
PRECTOTCORR,1985,21.25,-156.25,0
PRECTOTCORR,1985,21.25,-156.75,2.11
PRECTOTCORR,1985,21.25,-157.25,2.64
PRECTOTCORR,1985,21.25,-157.75,2.64
PRECTOTCORR,1985,21.25,-158.25,2.11
PRECTOTCORR,1985,21.25,-158.75,0
PRECTOTCORR,1985,21.25,-159.25,2.11
PRECTOTCORR,1985,21.25,-159.75,4.22
PRECTOTCORR,1985,21.25,-160.25,4.22
PRECTOTCORR,1985,21.25,-160.75,2.11
PRECTOTCORR,1985,21.25,-161.25,0
PRECTOTCORR,1985,21.25,-161.75,0
PRECTOTCORR,1985,21.75,-153.25,0
PRECTOTCORR,1985,21.75,-153.75,0
PRECTOTCORR,1985,21.75,-154.25,0
PRECTOTCORR,1985,21.75,-154.75,0
PRECTOTCORR,1985,21.75,-155.25,0
PRECTOTCORR,1985,21.75,-155.75,0
PRECTOTCORR,1985,21.75,-156.25,0
PRECTOTCORR,1985,21.75,-156.75,0
PRECTOTCORR,1985,21.75,-157.25,0
PRECTOTCORR,1985,21.75,-157.75,1.05
PRECTOTCORR,1985,21.75,-158.25,2.11
PRECTOTCORR,1985,21.75,-158.75,0
PRECTOTCORR,1985,21.75,-159.25,4.22
PRECTOTCORR,1985,21.75,-159.75,6.86
PRECTOTCORR,1985,21.75,-160.25,5.8
PRECTOTCORR,1985,21.75,-160.75,2.11
PRECTOTCORR,1985,21.75,-161.25,0
PRECTOTCORR,1985,21.75,-161.75,0
PRECTOTCORR,1985,22.25,-153.25,0
PRECTOTCORR,1985,22.25,-153.75,0
PRECTOTCORR,1985,22.25,-154.25,0
PRECTOTCORR,1985,22.25,-154.75,0
PRECTOTCORR,1985,22.25,-155.25,0
PRECTOTCORR,1985,22.25,-155.75,0
PRECTOTCORR,1985,22.25,-156.25,0
PRECTOTCORR,1985,22.25,-156.75,0
PRECTOTCORR,1985,22.25,-157.25,0
PRECTOTCORR,1985,22.25,-157.75,0
PRECTOTCORR,1985,22.25,-158.25,0
PRECTOTCORR,1985,22.25,-158.75,0
PRECTOTCORR,1985,22.25,-159.25,4.22
PRECTOTCORR,1985,22.25,-159.75,3.69
PRECTOTCORR,1985,22.25,-160.25,1.58
PRECTOTCORR,1985,22.25,-160.75,0
PRECTOTCORR,1985,22.25,-161.25,0
PRECTOTCORR,1985,22.25,-161.75,0
PRECTOTCORR,1985,22.75,-153.25,0
PRECTOTCORR,1985,22.75,-153.75,0
PRECTOTCORR,1985,22.75,-154.25,0
PRECTOTCORR,1985,22.75,-154.75,0
PRECTOTCORR,1985,22.75,-155.25,0
PRECTOTCORR,1985,22.75,-155.75,0
PRECTOTCORR,1985,22.75,-156.25,0
PRECTOTCORR,1985,22.75,-156.75,0
PRECTOTCORR,1985,22.75,-157.25,0
PRECTOTCORR,1985,22.75,-157.75,0
PRECTOTCORR,1985,22.75,-158.25,0
PRECTOTCORR,1985,22.75,-158.75,0
PRECTOTCORR,1985,22.75,-159.25,2.11
PRECTOTCORR,1985,22.75,-159.75,1.05
PRECTOTCORR,1985,22.75,-160.25,0
PRECTOTCORR,1985,22.75,-160.75,0
PRECTOTCORR,1985,22.75,-161.25,0
PRECTOTCORR,1985,22.75,-161.75,0
PRECTOTCORR,1985,23.25,-153.25,0
PRECTOTCORR,1985,23.25,-153.75,0
PRECTOTCORR,1985,23.25,-154.25,0
PRECTOTCORR,1985,23.25,-154.75,0
PRECTOTCORR,1985,23.25,-155.25,0
