PARAMETER,YEAR,LAT,LON, IRRAD [kW-hr/m^2/day]
ALLSKY_SFC_SW_DWN,1984,22.25,-153.75,5.68
ALLSKY_SFC_SW_DWN,1984,22.25,-154.25,5.68
ALLSKY_SFC_SW_DWN,1984,22.25,-154.75,5.68
ALLSKY_SFC_SW_DWN,1984,22.25,-155.25,5.68
ALLSKY_SFC_SW_DWN,1984,22.25,-155.75,5.68
ALLSKY_SFC_SW_DWN,1984,22.25,-156.25,5.73
ALLSKY_SFC_SW_DWN,1984,22.25,-156.75,5.73
ALLSKY_SFC_SW_DWN,1984,22.25,-157.25,5.75
ALLSKY_SFC_SW_DWN,1984,22.25,-157.75,5.75
ALLSKY_SFC_SW_DWN,1984,22.25,-158.25,5.72
ALLSKY_SFC_SW_DWN,1984,22.25,-158.75,5.72
ALLSKY_SFC_SW_DWN,1984,22.25,-159.25,5.73
ALLSKY_SFC_SW_DWN,1984,22.25,-159.75,5.73
ALLSKY_SFC_SW_DWN,1984,22.25,-160.25,5.76
ALLSKY_SFC_SW_DWN,1984,22.25,-160.75,5.76
ALLSKY_SFC_SW_DWN,1984,22.25,-161.25,5.65
ALLSKY_SFC_SW_DWN,1984,22.25,-161.75,5.65
ALLSKY_SFC_SW_DWN,1984,22.75,-153.25,5.68
ALLSKY_SFC_SW_DWN,1984,22.75,-153.75,5.68
ALLSKY_SFC_SW_DWN,1984,22.75,-154.25,5.68
ALLSKY_SFC_SW_DWN,1984,22.75,-154.75,5.68
ALLSKY_SFC_SW_DWN,1984,22.75,-155.25,5.68
ALLSKY_SFC_SW_DWN,1984,22.75,-155.75,5.68
ALLSKY_SFC_SW_DWN,1984,22.75,-156.25,5.73
ALLSKY_SFC_SW_DWN,1984,22.75,-156.75,5.73
ALLSKY_SFC_SW_DWN,1984,22.75,-157.25,5.75
ALLSKY_SFC_SW_DWN,1984,22.75,-157.75,5.75
ALLSKY_SFC_SW_DWN,1984,22.75,-158.25,5.72
ALLSKY_SFC_SW_DWN,1984,22.75,-158.75,5.72
ALLSKY_SFC_SW_DWN,1984,22.75,-159.25,5.73
ALLSKY_SFC_SW_DWN,1984,22.75,-159.75,5.73
ALLSKY_SFC_SW_DWN,1984,22.75,-160.25,5.76
ALLSKY_SFC_SW_DWN,1984,22.75,-160.75,5.76
ALLSKY_SFC_SW_DWN,1984,22.75,-161.25,5.65
ALLSKY_SFC_SW_DWN,1984,22.75,-161.75,5.65
ALLSKY_SFC_SW_DWN,1984,23.25,-153.25,5.59
ALLSKY_SFC_SW_DWN,1984,23.25,-153.75,5.59
ALLSKY_SFC_SW_DWN,1984,23.25,-154.25,5.6
ALLSKY_SFC_SW_DWN,1984,23.25,-154.75,5.6
ALLSKY_SFC_SW_DWN,1984,23.25,-155.25,5.61
ALLSKY_SFC_SW_DWN,1984,23.25,-155.75,5.61
ALLSKY_SFC_SW_DWN,1984,23.25,-156.25,5.63
ALLSKY_SFC_SW_DWN,1984,23.25,-156.75,5.63
ALLSKY_SFC_SW_DWN,1984,23.25,-157.25,5.62
ALLSKY_SFC_SW_DWN,1984,23.25,-157.75,5.62
ALLSKY_SFC_SW_DWN,1984,23.25,-158.25,5.6
ALLSKY_SFC_SW_DWN,1984,23.25,-158.75,5.6
ALLSKY_SFC_SW_DWN,1984,23.25,-159.25,5.58
ALLSKY_SFC_SW_DWN,1984,23.25,-159.75,5.58
ALLSKY_SFC_SW_DWN,1984,23.25,-160.25,5.57
ALLSKY_SFC_SW_DWN,1984,23.25,-160.75,5.57
ALLSKY_SFC_SW_DWN,1984,23.25,-161.25,5.53
ALLSKY_SFC_SW_DWN,1984,23.25,-161.75,5.53
ALLSKY_SFC_SW_DWN,1984,23.75,-153.25,5.59
ALLSKY_SFC_SW_DWN,1984,23.75,-153.75,5.59
ALLSKY_SFC_SW_DWN,1984,23.75,-154.25,5.6
ALLSKY_SFC_SW_DWN,1984,23.75,-154.75,5.6
ALLSKY_SFC_SW_DWN,1984,23.75,-155.25,5.61
ALLSKY_SFC_SW_DWN,1984,23.75,-155.75,5.61
ALLSKY_SFC_SW_DWN,1984,23.75,-156.25,5.63
ALLSKY_SFC_SW_DWN,1984,23.75,-156.75,5.63
ALLSKY_SFC_SW_DWN,1984,23.75,-157.25,5.62
ALLSKY_SFC_SW_DWN,1984,23.75,-157.75,5.62
ALLSKY_SFC_SW_DWN,1984,23.75,-158.25,5.6
ALLSKY_SFC_SW_DWN,1984,23.75,-158.75,5.6
ALLSKY_SFC_SW_DWN,1984,23.75,-159.25,5.58
ALLSKY_SFC_SW_DWN,1984,23.75,-159.75,5.58
ALLSKY_SFC_SW_DWN,1984,23.75,-160.25,5.57
ALLSKY_SFC_SW_DWN,1984,23.75,-160.75,5.57
ALLSKY_SFC_SW_DWN,1984,23.75,-161.25,5.53
ALLSKY_SFC_SW_DWN,1984,23.75,-161.75,5.53
ALLSKY_SFC_SW_DWN,1984,24.25,-153.25,5.56
ALLSKY_SFC_SW_DWN,1984,24.25,-153.75,5.56
ALLSKY_SFC_SW_DWN,1984,24.25,-154.25,5.59
ALLSKY_SFC_SW_DWN,1984,24.25,-154.75,5.59
ALLSKY_SFC_SW_DWN,1984,24.25,-155.25,5.57
ALLSKY_SFC_SW_DWN,1984,24.25,-155.75,5.57
ALLSKY_SFC_SW_DWN,1984,24.25,-156.25,5.57
ALLSKY_SFC_SW_DWN,1984,24.25,-156.75,5.57
ALLSKY_SFC_SW_DWN,1984,24.25,-157.25,5.51
ALLSKY_SFC_SW_DWN,1984,24.25,-157.75,5.51
ALLSKY_SFC_SW_DWN,1984,24.25,-158.25,5.48
ALLSKY_SFC_SW_DWN,1984,24.25,-158.75,5.48
ALLSKY_SFC_SW_DWN,1984,24.25,-159.25,5.47
ALLSKY_SFC_SW_DWN,1984,24.25,-159.75,5.47
ALLSKY_SFC_SW_DWN,1984,24.25,-160.25,5.44
ALLSKY_SFC_SW_DWN,1984,24.25,-160.75,5.44
ALLSKY_SFC_SW_DWN,1984,24.25,-161.25,5.43
