PARAMETER,YEAR,LAT,LON,TEMP [C]
T2M,1984,21.25,-159.25,24.69
T2M,1984,21.25,-159.75,24.76
T2M,1984,21.25,-160.25,24.83
T2M,1984,21.25,-160.75,24.85
T2M,1984,21.25,-161.25,24.85
T2M,1984,21.25,-161.75,24.87
T2M,1984,21.75,-153.25,23.85
T2M,1984,21.75,-153.75,23.89
T2M,1984,21.75,-154.25,23.93
T2M,1984,21.75,-154.75,23.98
T2M,1984,21.75,-155.25,24.02
T2M,1984,21.75,-155.75,24.06
T2M,1984,21.75,-156.25,24.11
T2M,1984,21.75,-156.75,24.11
T2M,1984,21.75,-157.25,24.16
T2M,1984,21.75,-157.75,24.18
T2M,1984,21.75,-158.25,24.23
T2M,1984,21.75,-158.75,24.55
T2M,1984,21.75,-159.25,24.28
T2M,1984,21.75,-159.75,24.47
T2M,1984,21.75,-160.25,24.7
T2M,1984,21.75,-160.75,24.78
T2M,1984,21.75,-161.25,24.76
T2M,1984,21.75,-161.75,24.76
T2M,1984,22.25,-153.25,23.8
T2M,1984,22.25,-153.75,23.84
T2M,1984,22.25,-154.25,23.88
T2M,1984,22.25,-154.75,23.93
T2M,1984,22.25,-155.25,23.97
T2M,1984,22.25,-155.75,24.01
T2M,1984,22.25,-156.25,24.06
T2M,1984,22.25,-156.75,24.11
T2M,1984,22.25,-157.25,24.15
T2M,1984,22.25,-157.75,24.19
T2M,1984,22.25,-158.25,24.24
T2M,1984,22.25,-158.75,24.32
T2M,1984,22.25,-159.25,24.08
T2M,1984,22.25,-159.75,24.26
T2M,1984,22.25,-160.25,24.5
T2M,1984,22.25,-160.75,24.61
T2M,1984,22.25,-161.25,24.61
T2M,1984,22.25,-161.75,24.62
T2M,1984,22.75,-153.25,23.76
T2M,1984,22.75,-153.75,23.8
T2M,1984,22.75,-154.25,23.84
T2M,1984,22.75,-154.75,23.88
T2M,1984,22.75,-155.25,23.92
T2M,1984,22.75,-155.75,23.96
T2M,1984,22.75,-156.25,24
T2M,1984,22.75,-156.75,24.04
T2M,1984,22.75,-157.25,24.09
T2M,1984,22.75,-157.75,24.13
T2M,1984,22.75,-158.25,24.17
T2M,1984,22.75,-158.75,24.21
T2M,1984,22.75,-159.25,24.18
T2M,1984,22.75,-159.75,24.25
T2M,1984,22.75,-160.25,24.35
T2M,1984,22.75,-160.75,24.43
T2M,1984,22.75,-161.25,24.46
T2M,1984,22.75,-161.75,24.48
T2M,1984,23.25,-153.25,23.7
T2M,1984,23.25,-153.75,23.74
T2M,1984,23.25,-154.25,23.79
T2M,1984,23.25,-154.75,23.82
T2M,1984,23.25,-155.25,23.85
T2M,1984,23.25,-155.75,23.89
T2M,1984,23.25,-156.25,23.92
T2M,1984,23.25,-156.75,23.97
T2M,1984,23.25,-157.25,24.01
T2M,1984,23.25,-157.75,24.05
T2M,1984,23.25,-158.25,24.09
T2M,1984,23.25,-158.75,24.13
T2M,1984,23.25,-159.25,24.17
T2M,1984,23.25,-159.75,24.21
T2M,1984,23.25,-160.25,24.26
T2M,1984,23.25,-160.75,24.3
T2M,1984,23.25,-161.25,24.34
T2M,1984,23.25,-161.75,24.37
T2M,1984,23.75,-153.25,23.63
T2M,1984,23.75,-153.75,23.67
T2M,1984,23.75,-154.25,23.72
T2M,1984,23.75,-154.75,23.75
T2M,1984,23.75,-155.25,23.78
T2M,1984,23.75,-155.75,23.81
T2M,1984,23.75,-156.25,23.85
T2M,1984,23.75,-156.75,23.89
T2M,1984,23.75,-157.25,23.93
T2M,1984,23.75,-157.75,23.96
T2M,1984,23.75,-158.25,24
T2M,1984,23.75,-158.75,24.03
T2M,1984,23.75,-159.25,24.07
T2M,1984,23.75,-159.75,24.12
T2M,1984,23.75,-160.25,24.17
T2M,1984,23.75,-160.75,24.21
T2M,1984,23.75,-161.25,24.24
T2M,1984,23.75,-161.75,24.28
T2M,1984,24.25,-153.25,23.56
T2M,1984,24.25,-153.75,23.6
T2M,1984,24.25,-154.25,23.64
T2M,1984,24.25,-154.75,23.66
T2M,1984,24.25,-155.25,23.69
T2M,1984,24.25,-155.75,23.72
T2M,1984,24.25,-156.25,23.75
T2M,1984,24.25,-156.75,23.8
T2M,1984,24.25,-157.25,23.84
T2M,1984,24.25,-157.75,23.87
T2M,1984,24.25,-158.25,23.9
T2M,1984,24.25,-158.75,23.94
T2M,1984,24.25,-159.25,23.99
T2M,1984,24.25,-159.75,24.04
T2M,1984,24.25,-160.25,24.08
T2M,1984,24.25,-160.75,24.12
T2M,1984,24.25,-161.25,24.15
T2M,1984,24.25,-161.75,24.18
T2M,1985,17.75,-153.25,24.31
T2M,1985,17.75,-153.75,24.31
T2M,1985,17.75,-154.25,24.33
T2M,1985,17.75,-154.75,24.34
T2M,1985,17.75,-155.25,24.35
T2M,1985,17.75,-155.75,24.36
T2M,1985,17.75,-156.25,24.39
T2M,1985,17.75,-156.75,24.42
T2M,1985,17.75,-157.25,24.45
T2M,1985,17.75,-157.75,24.47
T2M,1985,17.75,-158.25,24.5
T2M,1985,17.75,-158.75,24.52
T2M,1985,17.75,-159.25,24.55
T2M,1985,17.75,-159.75,24.58
T2M,1985,17.75,-160.25,24.61
T2M,1985,17.75,-160.75,24.64
T2M,1985,17.75,-161.25,24.68
T2M,1985,17.75,-161.75,24.71
T2M,1985,18.25,-153.25,24.17
T2M,1985,18.25,-153.75,24.19
T2M,1985,18.25,-154.25,24.21
T2M,1985,18.25,-154.75,24.22
T2M,1985,18.25,-155.25,24.26
T2M,1985,18.25,-155.75,24.32
T2M,1985,18.25,-156.25,24.35
T2M,1985,18.25,-156.75,24.38
T2M,1985,18.25,-157.25,24.39
T2M,1985,18.25,-157.75,24.4
T2M,1985,18.25,-158.25,24.42
T2M,1985,18.25,-158.75,24.45
T2M,1985,18.25,-159.25,24.49
T2M,1985,18.25,-159.75,24.53
T2M,1985,18.25,-160.25,24.56
T2M,1985,18.25,-160.75,24.6
T2M,1985,18.25,-161.25,24.64
T2M,1985,18.25,-161.75,24.67
T2M,1985,18.75,-153.25,24.03
T2M,1985,18.75,-153.75,24.05
T2M,1985,18.75,-154.25,24.08
T2M,1985,18.75,-154.75,23.95
T2M,1985,18.75,-155.25,23.61
T2M,1985,18.75,-155.75,23.49
T2M,1985,18.75,-156.25,24.45
T2M,1985,18.75,-156.75,24.4
T2M,1985,18.75,-157.25,24.37
T2M,1985,18.75,-157.75,24.36
T2M,1985,18.75,-158.25,24.38
T2M,1985,18.75,-158.75,24.41
T2M,1985,18.75,-159.25,24.45
T2M,1985,18.75,-159.75,24.49
T2M,1985,18.75,-160.25,24.54
T2M,1985,18.75,-160.75,24.58
